date,symbol,name,sector,regime,last,chg_pct,atr
2026-09-16,AU0,黄金,贵金属,flat,940.52,1.0,19.26
2026-09-16,AG0,白银,贵金属,flat,15832.0,2.41,572.14
2026-09-16,CU0,铜,有色,flat,107740.0,0.76,1372.86
2026-09-16,AL0,铝,有色,flat,24185.0,0.6,247.86
2026-09-16,ZN0,锌,有色,flat,26300.0,0.71,522.14
2026-09-16,NI0,镍,有色,short,122040.0,-1.64,2075.0
2026-09-16,SN0,锡,有色,short,398430.0,0.99,8938.57
2026-09-16,RB0,螺纹钢,黑色,flat,3126.0,0.74,39.0
2026-09-16,HC0,热卷,黑色,flat,3323.0,0.36,33.07
2026-09-16,SS0,不锈钢,有色,short,13540.0,-0.04,170.71
2026-09-16,FU0,燃料油,能化,long,4488.0,0.13,217.71
2026-09-16,BU0,沥青,能化,long,5450.0,3.24,206.0
2026-09-16,RU0,橡胶,能化,flat,18875.0,0.53,391.79
2026-09-16,SC0,原油,能化,long,827.0,-1.1,51.61
2026-09-16,LU0,低硫燃油,能化,long,5673.0,0.87,273.86
2026-09-16,NR0,20号胶,能化,flat,16010.0,0.76,417.86
2026-09-16,BC0,国际铜,有色,flat,95730.0,0.74,1407.86
2026-09-16,M0,豆粕,农产品,long,3479.0,3.11,59.93
2026-09-16,Y0,豆油,农产品,flat,9036.0,0.85,155.86
2026-09-16,P0,棕榈油,农产品,flat,10095.0,0.64,201.64
2026-09-16,A0,豆一,农产品,flat,5050.0,0.18,87.86
2026-09-16,C0,玉米,农产品,short,2216.0,0.18,21.36
2026-09-16,CS0,玉米淀粉,农产品,short,2460.0,0.24,28.14
2026-09-16,JD0,鸡蛋,农产品,flat,3798.0,0.0,64.93
2026-09-16,I0,铁矿石,黑色,short,709.0,0.14,11.75
2026-09-16,J0,焦炭,黑色,flat,2062.0,-0.51,70.5
2026-09-16,JM0,焦煤,黑色,flat,1616.0,-0.06,68.64
2026-09-16,L0,塑料,能化,long,8587.0,0.22,247.57
2026-09-16,PP0,聚丙烯,能化,long,8989.0,0.97,271.64
2026-09-16,V0,PVC,能化,flat,4887.0,-1.03,161.07
2026-09-16,EG0,乙二醇,能化,long,6147.0,3.17,298.0
2026-09-16,EB0,苯乙烯,能化,long,9961.0,-2.07,393.43
2026-09-16,PG0,液化气,能化,long,6981.0,1.76,298.86
2026-09-16,LH0,生猪,农产品,short,11130.0,-1.72,212.14
2026-09-16,SR0,白糖,农产品,flat,5369.0,0.0,55.14
2026-09-16,CF0,棉花,农产品,flat,16040.0,-0.43,223.57
2026-09-16,TA0,PTA,能化,long,6556.0,1.86,210.14
2026-09-16,MA0,甲醇,能化,flat,3052.0,0.93,150.14
2026-09-16,OI0,菜油,农产品,flat,10193.0,0.91,181.79
2026-09-16,RM0,菜粕,农产品,long,2381.0,4.16,54.29
2026-09-16,FG0,玻璃,建材,short,910.0,-1.3,26.07
2026-09-16,SA0,纯碱,建材,short,1011.0,-0.69,33.71
2026-09-16,AP0,苹果,农产品,short,7286.0,-1.47,137.29
2026-09-16,UR0,尿素,能化,flat,1807.0,0.89,29.43
2026-09-16,PF0,短纤,能化,long,8712.0,2.83,259.57
2026-09-16,IF0,沪深300,股指,short,4389.4,0.77,65.26
2026-09-16,IH0,上证50,股指,short,2807.2,0.91,37.94
2026-09-16,IC0,中证500,股指,short,7485.0,1.83,174.57
2026-09-16,IM0,中证1000,股指,flat,7378.4,2.32,182.51
2026-09-16,SI0,工业硅,有色,flat,8440.0,-0.59,161.07
2026-09-16,LC0,碳酸锂,有色,short,125820.0,-2.95,5958.57
